date,home_team,away_team,home_score,away_score,competition,home_xg,away_xg,home_shots,away_shots,home_sot,away_sot
2018-06-14,Russia,Saudi Arabia,5,0,FIFA World Cup 2018,1.2816,0.2488,14,6.0,7,0.0
2018-06-15,Morocco,Iran,0,1,FIFA World Cup 2018,1.0592,0.6976,14,8.0,3,2.0
2018-06-15,Egypt,Uruguay,0,1,FIFA World Cup 2018,0.3645,1.9408,8,16.0,3,4.0
2018-06-15,Portugal,Spain,3,3,FIFA World Cup 2018,1.4346,1.6609,10,12.0,3,5.0
2018-06-16,Argentina,Iceland,1,1,FIFA World Cup 2018,2.0805,1.0321,28,9.0,7,2.0
2018-06-16,France,Australia,2,1,FIFA World Cup 2018,1.5616,0.98,12,5.0,4,2.0
2018-06-16,Croatia,Nigeria,2,0,FIFA World Cup 2018,1.6945,0.7623,11,13.0,2,2.0
2018-06-16,Peru,Denmark,0,1,FIFA World Cup 2018,1.9264,1.1216,17,11.0,6,3.0
2018-06-17,Germany,Mexico,0,1,FIFA World Cup 2018,2.2993,0.9933,26,12.0,9,4.0
2018-06-17,Costa Rica,Serbia,0,1,FIFA World Cup 2018,0.596,1.9926,10,12.0,3,2.0
2018-06-17,Brazil,Switzerland,1,1,FIFA World Cup 2018,1.8666,0.4721,21,7.0,4,2.0
2018-06-18,Tunisia,England,1,2,FIFA World Cup 2018,0.9457,2.6264,6,18.0,1,7.0
2018-06-18,Belgium,Panama,3,0,FIFA World Cup 2018,1.2121,0.6254,15,7.0,6,2.0
2018-06-18,Sweden,South Korea,1,0,FIFA World Cup 2018,2.0151,0.4144,16,5.0,4,0.0
2018-06-19,Colombia,Japan,1,2,FIFA World Cup 2018,0.8063,2.3207,10,14.0,3,6.0
2018-06-19,Russia,Egypt,3,1,FIFA World Cup 2018,0.9812,1.6975,12,15.0,4,2.0
2018-06-19,Poland,Senegal,1,2,FIFA World Cup 2018,1.0423,1.4278,10,7.0,3,1.0
2018-06-20,Uruguay,Saudi Arabia,1,0,FIFA World Cup 2018,1.8074,0.2735,14,8.0,3,2.0
2018-06-20,Iran,Spain,0,1,FIFA World Cup 2018,0.4265,2.197,6,18.0,0,3.0
2018-06-20,Portugal,Morocco,1,0,FIFA World Cup 2018,0.885,1.4551,12,17.0,2,4.0
2018-06-21,France,Peru,1,0,FIFA World Cup 2018,1.8624,0.6252,12,12.0,4,2.0
2018-06-21,Argentina,Croatia,0,3,FIFA World Cup 2018,1.2181,1.8317,10,14.0,3,5.0
2018-06-21,Denmark,Australia,1,1,FIFA World Cup 2018,1.0144,1.4122,10,13.0,5,5.0
2018-06-22,Serbia,Switzerland,1,2,FIFA World Cup 2018,1.1535,1.5573,12,19.0,3,5.0
2018-06-22,Nigeria,Iceland,2,0,FIFA World Cup 2018,1.3122,1.5522,17,10.0,4,3.0
2018-06-22,Brazil,Costa Rica,2,0,FIFA World Cup 2018,3.0964,0.1587,23,4.0,9,0.0
2018-06-23,Belgium,Tunisia,5,2,FIFA World Cup 2018,5.3364,1.1882,23,17.0,11,5.0
2018-06-23,South Korea,Mexico,1,2,FIFA World Cup 2018,0.8218,1.8776,17,14.0,6,5.0
2018-06-23,Germany,Sweden,2,1,FIFA World Cup 2018,1.3181,0.8152,18,7.0,5,6.0
2018-06-24,Poland,Colombia,0,3,FIFA World Cup 2018,1.1142,1.3869,11,13.0,2,3.0
2018-06-24,Japan,Senegal,2,2,FIFA World Cup 2018,0.9822,1.8783,7,15.0,3,7.0
